Car_Name,Brand,Model,Vehicle_Age,KM_Driven,No_Of_Owners,Fuel_Type,Transmission_Type,Mileage,Engine_CC,Max_Power,No_Of_Seats,Price,Location
Hyundai Creta,Hyundai,Creta,8,60929.0,2,Petrol,Manual,15.8,1591.0,121.3,5,13.797347605666022,chennai
BMW X5,BMW,X5,17,78000.0,2,Diesel,Automatic,11.7,1949.5,180.02499999999998,5,14.115615891155079,chennai
Maruti Vitara Brezza,Maruti,Vitara Brezza,9,120000.0,1,Diesel,Manual,24.3,1248.0,88.5,5,13.710151153416941,chennai
Honda Amaze,Honda,Amaze,12,143185.0,1,Diesel,Manual,25.8,1498.0,98.6,5,12.821260987319457,chennai
Maruti Ciaz,Maruti,Ciaz,9,115434.0,1,Petrol,Manual,20.73,1373.0,91.1,5,13.3374763699232,chennai
Maruti Ignis,Maruti,Ignis,8,43000.0,1,Petrol,Manual,20.89,1197.0,81.8,5,13.081543466215237,chennai
Honda Brio,Honda,Brio,11,63309.0,1,Petrol,Manual,18.5,1198.0,86.8,5,12.971542813248437,chennai
Maruti Swift,Maruti,Swift,11,150000.0,1,Diesel,Manual,25.2,1248.0,74.0,5,13.122365377402328,chennai
BMW 7 Series,BMW,7 Series,7,53000.0,1,Diesel,Automatic,16.46,1949.5,180.02499999999998,5,15.843658936835498,chennai
Maruti Baleno,Maruti,Baleno,7,39386.0,1,Petrol,Manual,21.01,1197.0,81.8,5,13.579789490265188,chennai
BMW 6 Series,BMW,6 Series,8,42000.0,1,Diesel,Automatic,17.09,1949.5,180.02499999999998,4,15.46416937585933,chennai
Renault Triber,Renault,Triber,5,29257.0,1,Petrol,Automatic,18.2,999.0,71.01,7,13.561909087824318,chennai
Maruti Baleno,Maruti,Baleno,9,61829.0,1,Petrol,Automatic,21.4,1197.0,83.1,5,13.461690107508359,chennai
Maruti Alto K10,Maruti,Alto K10,12,83901.0,1,Petrol,Manual,23.95,998.0,67.05,5,12.577639650232573,chennai
Maruti Celerio,Maruti,Celerio,12,33295.0,1,Petrol,Manual,25.24,998.0,65.71,5,12.855792879125431,chennai
Maruti Celerio,Maruti,Celerio,11,33610.0,1,Petrol,Manual,25.24,998.0,65.71,5,12.926350926565435,chennai
Maruti Ciaz,Maruti,Ciaz,12,95600.0,1,Diesel,Manual,26.21,1248.0,88.5,5,13.329379172803593,chennai
Tata Tiago,Tata,Tiago,8,20960.0,1,Petrol,Manual,23.84,1199.0,84.0,5,13.151924121391561,chennai
BMW 3 Series,BMW,3 Series,10,66000.0,1,Diesel,Automatic,20.37,1949.5,180.02499999999998,5,14.761360480429413,chennai
Hyundai i20,Hyundai,i20,11,85105.0,2,Petrol,Manual,18.6,1197.0,81.83,5,13.136268254957963,chennai
Hyundai EON,Hyundai,EON,10,44519.0,2,Petrol,Manual,21.1,814.0,55.2,5,12.682309930111785,chennai
Maruti Baleno,Maruti,Baleno,9,54024.0,1,Petrol,Manual,21.4,1197.0,83.1,5,13.26212705890841,chennai
Maruti Baleno,Maruti,Baleno,6,20027.0,1,Petrol,Manual,21.01,1197.0,81.8,5,13.652992804936396,chennai
Audi A6,Audi,A6,7,44000.0,1,Diesel,Automatic,18.53,1949.5,180.02499999999998,5,15.123843647884687,chennai
Audi Q3,Audi,Q3,12,58000.0,1,Diesel,Automatic,15.73,1949.5,174.33,5,14.403297778421795,chennai
Honda Amaze,Honda,Amaze,13,67905.0,1,Diesel,Manual,25.8,1498.0,98.6,5,12.959846800844963,chennai
Maruti Baleno,Maruti,Baleno,9,62604.0,1,Petrol,Manual,21.01,1197.0,81.8,5,13.384729180332174,chennai
Toyota Innova,Toyota,Innova,17,120000.0,1,Diesel,Manual,12.8,1949.5,102.0,7,13.527829818844937,chennai
Honda Amaze,Honda,Amaze,12,105781.0,1,Diesel,Manual,25.8,1498.0,98.6,5,13.017005083966255,chennai
Maruti Ciaz,Maruti,Ciaz,9,68724.0,1,Petrol,Manual,20.73,1373.0,91.1,5,13.487007879880162,chennai
Maruti Celerio,Maruti,Celerio,12,67000.0,1,Petrol,Automatic,23.1,998.0,67.04,5,12.959846800844963,chennai
Hyundai i10,Hyundai,i10,16,110273.0,2,Petrol,Manual,20.36,1197.0,78.9,5,12.367345048436391,chennai
Maruti Celerio,Maruti,Celerio,10,65628.0,2,Petrol,Automatic,23.1,998.0,67.04,5,12.987690762404629,chennai
Volkswagen Polo,Volkswagen,Polo,12,106075.0,1,Petrol,Manual,16.47,1198.0,74.0,5,12.92391243868049,chennai
Maruti Ignis,Maruti,Ignis,4,6023.0,1,Petrol,Manual,20.89,1197.0,81.8,5,13.502170106720037,chennai
Tata Tiago,Tata,Tiago,8,38999.0,2,Petrol,Manual,23.84,1199.0,84.0,5,13.126355398673866,chennai
Toyota Innova Crysta,Toyota,Innova Crysta,8,105000.0,1,Diesel,Manual,13.68,1949.5,147.51,7,14.53335083891935,chennai
Tata New Safari,Tata,New Safari,4,7811.0,1,Diesel,Automatic,14.08,1949.5,167.67,7,14.489984982682818,chennai
Maruti Alto K10,Maruti,Alto K10,15,58747.0,2,Petrol,Manual,20.92,998.0,67.1,5,12.310437165348775,chennai
Tata Harrier,Tata,Harrier,7,34965.0,1,Diesel,Manual,17.0,1949.5,138.1,5,14.218974331404214,chennai
Ford Ecosport,Ford,Ecosport,11,106360.0,2,Diesel,Manual,22.7,1498.0,89.84,5,13.178745601197818,chennai
Maruti Ritz,Maruti,Ritz,16,152115.125,2,Petrol,Manual,18.5,1197.0,85.8,5,12.25486757159303,chennai
Toyota Urban cruiser,Toyota,Urban cruiser,5,26000.0,1,Petrol,Manual,17.03,1462.0,103.26,5,13.790193775620484,chennai
Maruti Swift,Maruti,Swift,6,57000.0,1,Petrol,Manual,21.21,1197.0,81.8,5,13.296318365198623,chennai
Hyundai Creta,Hyundai,Creta,9,49000.0,1,Petrol,Manual,15.29,1591.0,121.3,5,13.550243384129509,chennai
Hyundai i20,Hyundai,i20,4,30000.0,1,Petrol,Manual,21.0,1197.0,81.8,5,13.623139877437296,chennai
Hyundai i10,Hyundai,i10,12,40000.0,3,Petrol,Automatic,16.95,1197.0,78.9,5,12.721888795877375,chennai
Honda Jazz,Honda,Jazz,11,53250.0,1,Petrol,Automatic,19.0,1199.0,88.7,5,13.232116033476537,chennai
Tata Tiago,Tata,Tiago,4,8848.0,1,Petrol,Manual,19.01,1199.0,84.82,5,13.38318953651709,chennai
Tata Harrier,Tata,Harrier,4,3000.0,1,Diesel,Automatic,14.6,1949.5,167.67,5,14.626441218624949,chennai
Skoda Rapid,Skoda,Rapid,5,34628.0,1,Petrol,Manual,18.97,999.0,108.62,5,13.919871474189012,chennai
Maruti Ignis,Maruti,Ignis,4,8579.0,1,Petrol,Manual,20.89,1197.0,81.8,5,13.418015107599418,chennai
Renault Triber,Renault,Triber,4,17000.0,1,Petrol,Manual,20.0,999.0,71.01,7,13.42246945133505,chennai
Honda City,Honda,City,9,40021.0,1,Petrol,Manual,17.8,1497.0,117.3,5,13.586098651497313,chennai
Hyundai i20,Hyundai,i20,9,46946.0,2,Petrol,Manual,18.6,1197.0,81.83,5,13.282781802386296,chennai
Honda Jazz,Honda,Jazz,7,30772.0,1,Petrol,Automatic,18.2,1199.0,88.7,5,13.60108018640869,chennai
Ford Figo,Ford,Figo,14,74008.0,1,Diesel,Manual,20.0,1399.0,68.0,5,12.468440756144114,chennai
Maruti Swift Dzire,Maruti,Swift Dzire,9,31000.0,1,Diesel,Manual,28.25,1248.0,74.02,5,13.541075028051122,chennai
Mahindra Bolero,Mahindra,Bolero,4,20000.0,1,Diesel,Manual,16.0,1493.0,74.96,7,13.883170141017091,chennai
Maruti Baleno,Maruti,Baleno,6,20000.0,2,Petrol,Manual,21.01,1197.0,81.8,5,13.384729180332174,chennai
Maruti S-Presso,Maruti,S-Presso,6,31137.0,1,Petrol,Automatic,21.7,998.0,67.05,5,13.161586013632684,chennai
Maruti Swift Dzire,Maruti,Swift Dzire,15,90000.0,1,Diesel,Manual,19.3,1248.0,73.9,5,12.765691290604371,chennai
Hyundai Creta,Hyundai,Creta,11,77000.0,1,Petrol,Manual,15.8,1591.0,121.3,5,13.681980308196241,chennai
BMW 3 Series GT,BMW,3 Series GT,7,16000.0,1,Diesel,Automatic,21.76,1949.5,180.02499999999998,5,15.285686632949897,chennai
Mahindra XUV500,Mahindra,XUV500,8,23000.0,1,Diesel,Automatic,16.0,1949.5,140.0,7,14.187074804051692,chennai
Mahindra Thar,Mahindra,Thar,4,9000.0,1,Petrol,Manual,15.2,1949.5,150.0,4,14.360738188157574,chennai
Datsun RediGO,Datsun,RediGO,8,28733.0,1,Petrol,Manual,22.7,799.0,53.64,5,12.618185607609803,chennai
Hyundai Verna,Hyundai,Verna,8,61828.0,1,Diesel,Automatic,22.0,1582.0,126.2,5,13.87378040948403,chennai
Toyota Innova,Toyota,Innova,19,150000.0,2,Diesel,Manual,12.8,1949.5,102.0,8,13.304686600863562,chennai
Tata Tigor,Tata,Tigor,4,60431.0,1,Petrol,Manual,19.28,1199.0,84.82,5,13.489781802915555,chennai
Maruti Celerio X,Maruti,Celerio X,8,53269.0,1,Petrol,Manual,21.63,998.0,67.0,5,13.045484492893253,chennai
Honda Amaze,Honda,Amaze,7,37778.0,2,Petrol,Manual,19.5,1199.0,88.76,5,13.348703414510117,chennai
Maruti Baleno,Maruti,Baleno,9,54024.0,1,Petrol,Manual,21.4,1197.0,83.1,5,13.26212705890841,chennai
Tata Nexon,Tata,Nexon,8,85941.0,2,Petrol,Manual,17.0,1198.0,108.5,5,13.396961730063138,chennai
Maruti Celerio X,Maruti,Celerio X,8,89329.0,1,Petrol,Automatic,21.63,998.0,67.0,5,13.075271769870477,chennai
Tata Tiago,Tata,Tiago,7,40000.0,2,Petrol,Manual,23.84,1199.0,84.0,5,13.122365377402328,chennai
Maruti Swift,Maruti,Swift,9,17000.0,1,Petrol,Manual,21.21,1197.0,81.8,5,13.384729180332174,chennai
Maruti Ignis,Maruti,Ignis,9,83887.0,1,Petrol,Manual,20.89,1197.0,81.8,5,13.02805489573287,chennai
Hyundai i20 Active,Hyundai,i20 Active,11,150000.0,1,Diesel,Manual,21.19,1396.0,88.73,5,13.07107218827772,chennai
Toyota Innova Crysta,Toyota,Innova Crysta,5,39000.0,1,Diesel,Automatic,12.0,1949.5,148.0,7,14.845130332288226,chennai
Hyundai Verna,Hyundai,Verna,8,23000.0,1,Petrol,Automatic,17.0,1591.0,121.3,5,13.790193775620484,chennai
Hyundai Verna,Hyundai,Verna,9,80000.0,1,Petrol,Manual,17.0,1591.0,121.3,5,13.527829818844937,chennai
Maruti Celerio,Maruti,Celerio,10,34000.0,1,Petrol,Automatic,23.1,998.0,67.04,5,13.091904169919621,chennai
Maruti Celerio,Maruti,Celerio,9,29973.0,1,Petrol,Manual,23.1,998.0,67.04,5,13.038981768465277,chennai
Honda City,Honda,City,5,30000.0,1,Petrol,Manual,18.6,1498.0,119.35,5,14.05058347065728,chennai
Hyundai i20 Active,Hyundai,i20 Active,10,80805.0,2,Diesel,Manual,21.19,1396.0,88.73,5,13.248116346376765,chennai
Tata Tiago,Tata,Tiago,6,26235.0,1,Petrol,Manual,23.84,1199.0,83.83,5,13.335862167174314,chennai
Honda City,Honda,City,9,95963.0,0,Petrol,Manual,17.8,1497.0,117.3,5,13.353476685668044,chennai
Hyundai Creta,Hyundai,Creta,8,83294.0,1,Petrol,Manual,15.8,1591.0,121.3,5,13.635188201437066,chennai
MG Hector,MG,Hector,5,17963.0,2,Diesel,Manual,17.41,1949.5,167.68,5,14.347902546843713,chennai
Maruti Baleno,Maruti,Baleno,7,102696.0,1,Petrol,Manual,21.4,1197.0,83.1,5,13.361381852676738,chennai
Hyundai i20,Hyundai,i20,7,57206.0,2,Diesel,Manual,22.54,1396.0,88.76,5,13.361381852676738,chennai
Ford Figo,Ford,Figo,13,120000.0,2,Diesel,Manual,20.0,1399.0,68.05,5,12.611541086966115,chennai
Hyundai i20,Hyundai,i20,9,81829.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.395440819535605,chennai
Maruti Celerio,Maruti,Celerio,12,54395.0,2,Petrol,Manual,25.24,998.0,65.71,5,12.873904582205107,chennai
Tata Tigor,Tata,Tigor,7,50000.0,1,Diesel,Manual,24.7,1047.0,69.0,5,13.3374763699232,chennai
Volkswagen Ameo,Volkswagen,Ameo,9,70000.0,2,Petrol,Manual,17.0,1198.0,73.75,5,13.049794835104816,chennai
Hyundai i20,Hyundai,i20,11,36000.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.28787951079572,chennai
Isuzu MU 7,Isuzu,MU 7,10,125000.0,2,Diesel,Manual,12.08,1949.5,161.0,7,13.76421831620775,chennai
Mercedes-Benz CLA,Mercedes-Benz,CLA,8,75000.0,2,Diesel,Automatic,17.9,1949.5,136.0,5,14.580978865220017,chennai
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,8,45007.0,1,Diesel,Automatic,16.1,1949.5,180.02499999999998,5,15.341567078850604,chennai
Honda Amaze,Honda,Amaze,10,49617.0,1,Petrol,Manual,19.5,1199.0,88.76,5,13.102162710901053,chennai
Toyota Etios,Toyota,Etios,10,57782.0,1,Petrol,Manual,16.78,1496.0,88.73,5,13.3374763699232,chennai
Skoda Superb,Skoda,Superb,11,38000.0,1,Diesel,Automatic,17.2,1949.5,138.03,5,14.48334044336031,chennai
BMW 5 Series,BMW,5 Series,18,110000.0,3,Diesel,Automatic,11.5,1949.5,180.02499999999998,5,13.429849547739444,chennai
Honda Jazz,Honda,Jazz,8,22066.0,2,Petrol,Manual,18.7,1199.0,88.7,5,13.29463628184505,chennai
Hyundai i20,Hyundai,i20,10,65707.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.19189130572284,chennai
Maruti Celerio,Maruti,Celerio,11,89488.0,1,Petrol,Manual,23.1,998.0,67.04,5,12.807655372286902,chennai
Maruti Ignis,Maruti,Ignis,9,88663.0,2,Petrol,Automatic,20.89,1197.0,81.8,5,13.206706364071684,chennai
Tata Tiago,Tata,Tiago,6,31679.0,1,Petrol,Manual,23.84,1199.0,83.83,5,13.246351123968212,chennai
Hyundai Grand i10,Hyundai,Grand i10,13,68178.0,1,Petrol,Manual,18.9,1197.0,82.0,5,12.948012371209098,chennai
Honda City,Honda,City,9,61279.0,2,Petrol,Manual,17.8,1497.0,117.3,5,13.525159593854116,chennai
Honda Amaze,Honda,Amaze,5,8963.0,1,Petrol,Manual,18.6,1199.0,88.76,5,13.68767832281738,chennai
Maruti Swift Dzire,Maruti,Swift Dzire,9,80281.0,1,Petrol,Manual,21.21,1197.0,81.8,5,13.331003865890963,chennai
MG Hector,MG,Hector,6,50580.0,1,Petrol,Manual,14.16,1451.0,141.0,5,14.256343453410166,chennai
Mini Cooper,Mini,Cooper,12,21000.0,1,Petrol,Automatic,19.23,1598.0,98.0,5,14.557448378884015,chennai
Audi Q3,Audi,Q3,10,55000.0,1,Diesel,Automatic,15.73,1949.5,174.33,5,14.59253968227493,chennai
Mercedes-Benz GLE,Mercedes-Benz,GLE,8,70000.0,2,Diesel,Automatic,17.9,1949.5,180.02499999999998,5,15.250595321348806,chennai
Audi Q5,Audi,Q5,7,58000.0,1,Petrol,Automatic,10.25,1949.5,180.02499999999998,5,15.274125813221904,chennai
Volkswagen Vento,Volkswagen,Vento,8,65224.0,1,Petrol,Manual,16.09,1598.0,103.2,5,13.493928313146206,chennai
Maruti Ritz,Maruti,Ritz,16,120000.0,1,Petrol,Manual,21.1,1197.0,85.8,5,12.524530013005734,chennai
BMW X5,BMW,X5,8,42001.0,1,Diesel,Automatic,15.97,1949.5,180.02499999999998,5,15.564710586686562,chennai
Maruti Swift Dzire,Maruti,Swift Dzire,9,30316.0,1,Petrol,Manual,19.0,1197.0,85.8,5,13.361381852676738,chennai
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,13,64000.0,3,Diesel,Automatic,13.0,1949.5,180.02499999999998,5,14.403297778421795,chennai
Volvo S60,Volvo,S60,11,40000.0,1,Diesel,Automatic,10.25,1949.5,180.02499999999998,5,14.45736497045232,chennai
Maruti Swift,Maruti,Swift,9,100526.0,1,Petrol,Manual,22.38,1197.0,88.5,5,13.142166004700508,chennai
Maruti Swift,Maruti,Swift,5,17273.0,1,Petrol,Manual,22.38,1197.0,88.5,5,13.613395597831598,chennai
Maruti SX4 S Cross,Maruti,SX4 S Cross,8,107737.0,1,Diesel,Manual,23.65,1248.0,88.5,5,13.652992804936396,chennai
Ford Ecosport,Ford,Ecosport,10,111586.0,2,Petrol,Manual,15.85,1499.0,110.4,5,13.197472705176983,chennai
Maruti Baleno,Maruti,Baleno,9,73369.0,2,Petrol,Automatic,21.4,1197.0,83.1,5,13.195615697878253,chennai
Maruti Alto,Maruti,Alto,14,63697.0,1,Petrol,Manual,19.7,796.0,46.3,5,12.367345048436391,chennai
Hyundai i20,Hyundai,i20,8,45224.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.4090464510229,chennai
Ford Figo,Ford,Figo,16,110701.0,2,Diesel,Manual,20.0,1399.0,68.0,5,12.25486757159303,chennai
Maruti Wagon R,Maruti,Wagon R,10,49124.0,2,Petrol,Manual,20.51,998.0,67.04,5,12.931205293247745,chennai
Maruti Swift Dzire,Maruti,Swift Dzire,10,96861.0,1,Petrol,Manual,22.41,1197.0,88.5,5,13.132315688453556,chennai
Hyundai i10,Hyundai,i10,17,64636.0,2,Petrol,Manual,20.36,1197.0,78.9,5,12.611541086966115,chennai
Audi A6,Audi,A6,12,134000.0,1,Diesel,Automatic,17.68,1949.5,174.33,5,13.698977865303197,chennai
Maruti 800,Maruti,800,24,20000.0,1,Petrol,Manual,16.1,796.0,37.0,4,11.849404844423074,chennai
Renault Kiger,Renault,Kiger,4,14118.0,1,Petrol,Automatic,19.03,999.0,71.01,5,13.60479076121576,chennai
Ford Ecosport,Ford,Ecosport,8,36000.0,2,Petrol,Automatic,14.8,1497.0,121.36,5,13.493928313146206,chennai
Skoda Kushaq,Skoda,Kushaq,4,10000.0,1,Petrol,Automatic,17.2,999.0,113.98,5,14.377979984682511,chennai
Kia Seltos,Kia,Seltos,7,50000.0,1,Petrol,Manual,16.8,1497.0,113.43,5,13.864301674514206,chennai
Toyota Urban cruiser,Toyota,Urban cruiser,5,30000.0,1,Petrol,Manual,17.03,1462.0,103.26,5,13.815511557963774,chennai
Skoda Rapid,Skoda,Rapid,8,29000.0,1,Petrol,Automatic,14.84,1598.0,103.2,5,13.652992804936396,chennai
Hyundai i20,Hyundai,i20,12,55940.0,2,Petrol,Manual,18.6,1197.0,81.83,5,13.138238695062618,chennai
Honda City,Honda,City,8,115915.0,2,Diesel,Manual,25.6,1498.0,97.9,5,13.654168582642953,chennai
Renault KWID,Renault,KWID,4,1000.0,1,Petrol,Automatic,22.3,999.0,67.06,5,13.345508528717259,chennai
Honda Jazz,Honda,Jazz,10,96184.0,2,Petrol,Automatic,19.0,1199.0,88.7,5,13.235693848424024,chennai
Hyundai i10,Hyundai,i10,12,87780.0,1,Petrol,Manual,19.81,1086.0,68.05,5,12.721888795877375,chennai
Hyundai i20,Hyundai,i20,11,118921.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.005831808336863,chennai
Ford Ecosport,Ford,Ecosport,7,73834.0,2,Diesel,Manual,23.0,1498.0,98.96,5,13.629182184591333,chennai
Maruti Baleno,Maruti,Baleno,10,38514.0,1,Petrol,Manual,21.4,1197.0,83.1,5,13.353476685668044,chennai
Maruti Swift Dzire,Maruti,Swift Dzire,10,74401.0,2,Petrol,Manual,22.41,1197.0,88.5,5,13.174957725054906,chennai
Hyundai Creta,Hyundai,Creta,6,40000.0,1,Petrol,Automatic,16.8,1353.0,138.12,5,14.093143052138025,chennai
Maruti Swift,Maruti,Swift,4,9000.0,1,Petrol,Manual,22.38,1197.0,88.5,5,13.664688831019712,chennai
Hyundai Creta,Hyundai,Creta,9,50000.0,1,Petrol,Manual,15.29,1591.0,121.3,5,13.548938754204904,chennai
Maruti Swift Dzire,Maruti,Swift Dzire,6,40000.0,1,Petrol,Manual,22.41,1197.0,88.5,5,13.321215875492413,chennai
Skoda Rapid,Skoda,Rapid,11,80000.0,3,Diesel,Automatic,21.66,1498.0,103.52,5,13.07107218827772,chennai
Hyundai Grand i10,Hyundai,Grand i10,12,82000.0,2,Petrol,Manual,18.9,1197.0,82.0,5,12.873904582205107,chennai
Hyundai Aura,Hyundai,Aura,6,32947.0,1,Petrol,Automatic,20.1,1197.0,81.86,5,13.429849547739444,chennai
Hyundai Verna,Hyundai,Verna,8,25000.0,1,Petrol,Manual,17.0,1591.0,121.3,5,13.658857917508856,chennai
Maruti XL6,Maruti,XL6,4,10000.0,1,Petrol,Manual,19.01,1462.0,103.2,6,13.997832948091215,chennai
Skoda Slavia,Skoda,Slavia,4,8413.0,1,Petrol,Manual,18.72,1498.0,147.52,5,14.395489600328839,chennai
Hyundai i20,Hyundai,i20,10,34460.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.327751835792448,chennai
Maruti Swift Dzire,Maruti,Swift Dzire,16,33886.0,1,Petrol,Manual,17.5,1298.0,85.8,5,12.73670383776449,chennai
Hyundai i20 Active,Hyundai,i20 Active,10,57910.0,2,Petrol,Manual,17.19,1197.0,81.86,5,13.232116033476537,chennai
Renault Triber,Renault,Triber,6,46233.0,2,Petrol,Manual,20.0,999.0,71.01,7,13.384729180332174,chennai
Honda City,Honda,City,9,60000.0,1,Petrol,Automatic,18.3,1498.0,119.35,5,13.76421831620775,chennai
Maruti Swift,Maruti,Swift,5,48979.0,1,Petrol,Manual,22.38,1197.0,88.5,5,13.47302165746721,chennai
MG Hector,MG,Hector,7,42000.0,1,Petrol,Automatic,13.96,1451.0,141.0,5,14.346139397261565,chennai
Ford Ecosport,Ford,Ecosport,10,106165.0,1,Diesel,Manual,22.77,1498.0,98.59,5,13.435714658591923,chennai
Datsun RediGO,Datsun,RediGO,8,91261.0,1,Petrol,Manual,22.7,799.0,53.64,5,12.6410997921206,chennai
Maruti Celerio,Maruti,Celerio,8,36711.0,1,Petrol,Manual,21.63,998.0,67.05,5,13.122365377402328,chennai
BMW 3 Series Gran Limousine,BMW,3 Series Gran Limousine,5,9000.0,1,Petrol,Automatic,15.3,1949.5,180.02499999999998,5,15.520258832020865,chennai
Maruti Baleno,Maruti,Baleno,8,30428.0,0,Petrol,Manual,21.4,1197.0,83.1,5,13.384729180332174,chennai
Renault KWID,Renault,KWID,8,49791.0,1,Petrol,Manual,23.01,999.0,67.0,5,12.793862088206213,chennai
MG Hector Plus,MG,Hector Plus,5,40000.0,1,Diesel,Manual,16.65,1949.5,167.67,6,14.444119750719839,chennai
Hyundai Xcent,Hyundai,Xcent,12,40000.0,2,Petrol,Manual,19.1,1197.0,82.0,5,13.017005083966255,chennai
Maruti Baleno,Maruti,Baleno,8,50000.0,2,Petrol,Automatic,21.4,1197.0,83.1,5,13.399996629152975,chennai
Maruti Vitara Brezza,Maruti,Vitara Brezza,7,60000.0,1,Diesel,Manual,24.3,1248.0,88.5,5,13.76421831620775,chennai
Volkswagen Ameo,Volkswagen,Ameo,9,60000.0,1,Petrol,Manual,17.0,1198.0,74.0,5,13.122365377402328,chennai
Ford Endeavour,Ford,Endeavour,9,70000.0,1,Diesel,Automatic,12.62,1949.5,158.0,7,14.686804342317648,chennai
Maruti Wagon R,Maruti,Wagon R,12,107158.0,2,Petrol,Manual,20.51,998.0,67.04,5,12.796636007394284,chennai
Hyundai Grand i10,Hyundai,Grand i10,7,90811.0,1,Petrol,Manual,18.9,1197.0,81.86,5,13.215855541983634,chennai
Ford Figo,Ford,Figo,14,76454.0,3,Petrol,Manual,15.6,1196.0,70.0,5,12.25486757159303,chennai
Maruti Swift,Maruti,Swift,5,57464.0,1,Petrol,Manual,22.38,1197.0,88.5,5,13.464535055593716,chennai
Honda Amaze,Honda,Amaze,7,95072.0,1,Petrol,Manual,19.5,1199.0,88.76,5,13.499430382731967,chennai
Honda City,Honda,City,12,51789.0,1,Petrol,Automatic,18.0,1497.0,117.3,5,13.45883704259595,chennai
Hyundai i20,Hyundai,i20,8,56028.0,2,Petrol,Manual,18.6,1197.0,81.83,5,13.335862167174314,chennai
Honda City,Honda,City,9,60000.0,1,Petrol,Manual,17.8,1497.0,117.3,5,13.493928313146206,chennai
Hyundai Grand i10 Nios,Hyundai,Grand i10 Nios,6,36460.0,1,Petrol,Manual,20.7,1197.0,81.86,5,13.339087971220277,chennai
Honda Amaze,Honda,Amaze,6,103249.0,1,Petrol,Manual,19.5,1199.0,88.76,5,13.437175577097312,chennai
Honda City,Honda,City,5,45568.0,1,Petrol,Manual,18.6,1498.0,119.35,5,13.76421831620775,chennai
Ford Endeavour,Ford,Endeavour,9,130000.0,1,Diesel,Automatic,12.62,1949.5,158.0,7,14.430696737594902,chennai
MG Hector Plus,MG,Hector Plus,5,60000.0,1,Diesel,Manual,16.65,1949.5,167.67,6,14.430696737594902,chennai
Skoda Rapid,Skoda,Rapid,13,100521.0,1,Diesel,Manual,20.5,1598.0,103.5,5,12.92391243868049,chennai
Volkswagen Ameo,Volkswagen,Ameo,7,42709.0,1,Petrol,Manual,19.44,999.0,75.0,5,13.25339339419516,chennai
Mahindra TUV 300,Mahindra,TUV 300,10,150000.0,2,Diesel,Manual,18.49,1493.0,100.0,7,13.217675375388819,chennai
Honda City,Honda,City,11,100000.0,1,Petrol,Manual,17.4,1497.0,117.3,5,13.304686600863562,chennai
Volkswagen Jetta,Volkswagen,Jetta,17,120000.0,3,Diesel,Manual,15.0,1896.0,105.0,5,12.328290278254423,chennai
Hyundai Elantra,Hyundai,Elantra,8,30000.0,1,Petrol,Automatic,14.62,1949.5,149.92,5,14.115615891155079,chennai
BMW 3 Series,BMW,3 Series,10,70000.0,1,Diesel,Automatic,22.69,1949.5,180.02499999999998,5,14.77102238760702,chennai
Hyundai Grand i10,Hyundai,Grand i10,12,104279.0,1,Petrol,Manual,18.9,1197.0,82.0,5,12.807655372286902,chennai
Hyundai i20 Active,Hyundai,i20 Active,8,73321.0,1,Petrol,Manual,17.19,1197.0,81.86,5,13.468787359304866,chennai
Hyundai Verna,Hyundai,Verna,9,50000.0,1,Petrol,Manual,17.0,1591.0,121.3,5,13.592368256649284,chennai
Hyundai Santro,Hyundai,Santro,8,34279.0,1,Petrol,Manual,20.3,1086.0,68.0,5,13.161586013632684,chennai
Hyundai i20,Hyundai,i20,10,55040.0,2,Petrol,Manual,18.6,1197.0,81.83,5,13.308014385419147,chennai
Hyundai Verna,Hyundai,Verna,8,39000.0,2,Diesel,Automatic,22.0,1582.0,126.2,5,13.864301674514206,chennai
Hyundai i20,Hyundai,i20,12,104336.0,2,Diesel,Manual,22.54,1396.0,88.73,5,13.210376086227196,chennai
Volvo S90,Volvo,S90,7,45000.0,3,Diesel,Automatic,18.0,1949.5,180.02499999999998,5,15.061105324750772,chennai
Honda City,Honda,City,6,69617.0,1,Petrol,Manual,18.6,1498.0,119.35,5,13.987782620655215,chennai
Hyundai i20,Hyundai,i20,10,47429.0,1,Petrol,Manual,18.6,1197.0,81.83,5,13.339087971220277,chennai
Maruti Swift,Maruti,Swift,11,67000.0,1,Petrol,Manual,21.21,1197.0,81.8,5,13.151924121391561,chennai
Volkswagen Polo,Volkswagen,Polo,10,80000.0,1,Petrol,Manual,16.2,1199.0,74.0,5,13.304686600863562,chennai
Volkswagen Polo,Volkswagen,Polo,8,27000.0,1,Petrol,Manual,18.78,999.0,75.0,5,13.560619598657233,chennai
Ford Ecosport,Ford,Ecosport,10,56000.0,2,Diesel,Manual,22.77,1498.0,98.59,5,13.377007146164305,chennai
Honda Amaze,Honda,Amaze,8,33379.0,1,Petrol,Manual,18.6,1199.0,88.76,5,13.384729180332174,chennai
