Car_Name,Brand,Model,Vehicle_Age,KM_Driven,No_Of_Owners,Fuel_Type,Transmission_Type,Mileage,Engine_CC,Max_Power,No_Of_Seats,Price,Location
Mini 3 DOOR,Mini,3 DOOR,10,40000.0,1,Petrol,Automatic,17.33,1949.5,180.02499999999998,4,15.11706396273788,bangalore
Tata Tiago,Tata,Tiago,7,60932.0,1,Petrol,Manual,23.84,1199.0,83.83,5,13.321215875492413,bangalore
Kia Seltos,Kia,Seltos,6,33539.0,2,Petrol,Automatic,16.5,1353.0,138.08,5,14.331324320256051,bangalore
Tata Tiago,Tata,Tiago,8,66837.0,2,Petrol,Manual,23.84,1199.0,84.0,5,13.180634172318978,bangalore
Maruti Alto,Maruti,Alto,18,60000.0,2,Petrol,Manual,19.7,796.0,46.3,5,12.429220196836383,bangalore
Hyundai i20,Hyundai,i20,7,44285.0,1,Petrol,Manual,18.6,1197.0,81.86,5,13.480039220276565,bangalore
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,12,100000.0,2,Diesel,Automatic,11.3,1949.5,180.02499999999998,7,15.068273812173887,bangalore
Tata New Safari,Tata,New Safari,5,25000.0,1,Diesel,Automatic,14.08,1949.5,167.67,6,14.626441218624949,bangalore
Hyundai Grand i10,Hyundai,Grand i10,8,36735.0,1,Petrol,Manual,18.9,1197.0,81.86,5,13.345508528717259,bangalore
Audi Q7,Audi,Q7,11,79000.0,1,Diesel,Automatic,12.07,1949.5,180.02499999999998,7,14.80690913338268,bangalore
Mahindra Scorpio,Mahindra,Scorpio,16,120000.0,2,Diesel,Manual,12.05,1949.5,120.0,8,13.384729180332174,bangalore
Renault KWID,Renault,KWID,4,10000.0,1,Petrol,Automatic,22.0,999.0,67.0,5,13.217675375388819,bangalore
Tata Nexon,Tata,Nexon,8,53645.0,1,Diesel,Manual,21.5,1497.0,108.5,5,13.623139877437296,bangalore
Hyundai Getz,Hyundai,Getz,20,100000.0,2,Petrol,Manual,15.3,1341.0,83.0,5,12.301387370778713,bangalore
Maruti Celerio,Maruti,Celerio,12,53982.0,1,Petrol,Automatic,26.68,998.0,65.71,5,12.966880811009803,bangalore
Skoda Rapid,Skoda,Rapid,12,110000.0,1,Diesel,Manual,21.14,1498.0,103.52,5,13.451668563394815,bangalore
Ford Ecosport,Ford,Ecosport,7,37741.0,2,Petrol,Manual,15.9,1496.0,120.69,5,13.742940940397677,bangalore
